nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient046
2021-12-06 15:23:21.743717: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  9
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient046/PPO_ActionList_gym_cancer:CancerControl-v0_patient046_log_9.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient046/
save checkpoint format : patient046_20211206-1523_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 15:23:25
============================================================================================
/home/yitao/PPO-Pytorch/env/gym_cancer/envs/cancercontrol.py:282: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi -drug @ Beta))
Updates : 0 		 SurvivalMonths : 68.0 		 Average Reward : -52619.8
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient046/final/patient046_20211206-1523_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:09
--------------------------------------------------------------------------------------------
/home/yitao/PPO-Pytorch/env/gym_cancer/envs/cancercontrol.py:282: RuntimeWarning: invalid value encountered in power
  dxdt = np.multiply(r * x, (1 - (x @ self.A / self.K) ** phi -drug @ Beta))
Updates : 2 		 SurvivalMonths : 70.5 		 Average Reward : -50053.16
Updates : 4 		 SurvivalMonths : 66.5 		 Average Reward : -2898.33
Updates : 6 		 SurvivalMonths : 64.5 		 Average Reward : -12974.54
Updates : 8 		 SurvivalMonths : 66.0 		 Average Reward : -7831.03
Updates : 10 		 SurvivalMonths : 67.0 		 Average Reward : -10640.89
Updates : 12 		 SurvivalMonths : 66.5 		 Average Reward : -32766.45
Updates : 14 		 SurvivalMonths : 66.0 		 Average Reward : -6701.91
Updates : 16 		 SurvivalMonths : 67.0 		 Average Reward : -11783.73
Updates : 18 		 SurvivalMonths : 67.0 		 Average Reward : -31870.84
Updates : 20 		 SurvivalMonths : 67.0 		 Average Reward : -11205.12
Updates : 22 		 SurvivalMonths : 67.5 		 Average Reward : -31702.46
Updates : 24 		 SurvivalMonths : 65.0 		 Average Reward : -5183.71
Updates : 26 		 SurvivalMonths : 45.0 		 Average Reward : 1886.34
Updates : 28 		 SurvivalMonths : 58.0 		 Average Reward : -10890.68
Updates : 30 		 SurvivalMonths : 66.0 		 Average Reward : -7742.77
Updates : 32 		 SurvivalMonths : 66.0 		 Average Reward : -10599.26
Updates : 34 		 SurvivalMonths : 58.0 		 Average Reward : -1315.37
Updates : 36 		 SurvivalMonths : 68.0 		 Average Reward : -15142.62
Updates : 38 		 SurvivalMonths : 65.0 		 Average Reward : -6394.86
Updates : 40 		 SurvivalMonths : 66.0 		 Average Reward : -9703.38
Updates : 42 		 SurvivalMonths : 67.0 		 Average Reward : -11632.88
Updates : 44 		 SurvivalMonths : 66.5 		 Average Reward : -10765.68
Updates : 46 		 SurvivalMonths : 65.5 		 Average Reward : -9681.53
Updates : 48 		 SurvivalMonths : 52.0 		 Average Reward : -4157.69
Updates : 50 		 SurvivalMonths : 67.5 		 Average Reward : -6866.0
Updates : 52 		 SurvivalMonths : 67.0 		 Average Reward : -13237.84
Updates : 54 		 SurvivalMonths : 52.0 		 Average Reward : -2734.91
Updates : 56 		 SurvivalMonths : 50.0 		 Average Reward : -8944.59
Updates : 58 		 SurvivalMonths : 49.0 		 Average Reward : -1503.2
Updates : 60 		 SurvivalMonths : 66.5 		 Average Reward : -5315.87
Updates : 62 		 SurvivalMonths : 51.5 		 Average Reward : -7351.47
Updates : 64 		 SurvivalMonths : 52.0 		 Average Reward : -1841.4
Updates : 66 		 SurvivalMonths : 55.0 		 Average Reward : -1468.67
Updates : 68 		 SurvivalMonths : 67.0 		 Average Reward : -8024.81
Updates : 70 		 SurvivalMonths : 69.0 		 Average Reward : -9254.27
Updates : 72 		 SurvivalMonths : 66.0 		 Average Reward : -15426.94
Updates : 74 		 SurvivalMonths : 69.0 		 Average Reward : -9833.23
Updates : 76 		 SurvivalMonths : 70.5 		 Average Reward : -1019.42
Updates : 78 		 SurvivalMonths : 56.0 		 Average Reward : -4183.48
Updates : 80 		 SurvivalMonths : 63.5 		 Average Reward : -2286.97
Updates : 82 		 SurvivalMonths : 66.5 		 Average Reward : -25309.4
Updates : 84 		 SurvivalMonths : 66.0 		 Average Reward : -13409.49
Updates : 86 		 SurvivalMonths : 51.5 		 Average Reward : -5395.88
Updates : 88 		 SurvivalMonths : 72.0 		 Average Reward : -13383.69
Updates : 90 		 SurvivalMonths : 65.0 		 Average Reward : -2446.97
Updates : 92 		 SurvivalMonths : 65.5 		 Average Reward : -8304.08
Updates : 94 		 SurvivalMonths : 68.0 		 Average Reward : -14505.86
Updates : 96 		 SurvivalMonths : 30.5 		 Average Reward : 1316.54
Updates : 98 		 SurvivalMonths : 67.5 		 Average Reward : -4626.93
Updates : 100 		 SurvivalMonths : 65.0 		 Average Reward : -8439.98
Updates : 102 		 SurvivalMonths : 65.5 		 Average Reward : -8527.33
Updates : 104 		 SurvivalMonths : 65.0 		 Average Reward : -10494.49
Updates : 106 		 SurvivalMonths : 66.0 		 Average Reward : -9584.9
Updates : 108 		 SurvivalMonths : 43.5 		 Average Reward : -5543.06
Updates : 110 		 SurvivalMonths : 68.5 		 Average Reward : -4153.21
Updates : 112 		 SurvivalMonths : 68.0 		 Average Reward : -18247.48
Updates : 114 		 SurvivalMonths : 50.5 		 Average Reward : -17164.31
Updates : 116 		 SurvivalMonths : 65.0 		 Average Reward : -9045.91
Updates : 118 		 SurvivalMonths : 69.0 		 Average Reward : -10994.08
Updates : 120 		 SurvivalMonths : 43.0 		 Average Reward : -263.92
Updates : 122 		 SurvivalMonths : 68.0 		 Average Reward : -13844.56
Updates : 124 		 SurvivalMonths : 69.0 		 Average Reward : -11772.26
Updates : 126 		 SurvivalMonths : 68.5 		 Average Reward : -23689.39
Updates : 128 		 SurvivalMonths : 67.5 		 Average Reward : -2812.0
Updates : 130 		 SurvivalMonths : 70.0 		 Average Reward : -6995.58
Updates : 132 		 SurvivalMonths : 65.0 		 Average Reward : -2703.73
Updates : 134 		 SurvivalMonths : 43.5 		 Average Reward : -4827.03
Updates : 136 		 SurvivalMonths : 42.5 		 Average Reward : -2937.41
Updates : 138 		 SurvivalMonths : 69.0 		 Average Reward : -7685.11
Updates : 140 		 SurvivalMonths : 67.5 		 Average Reward : -19002.36
Updates : 142 		 SurvivalMonths : 67.5 		 Average Reward : -6973.95
Updates : 144 		 SurvivalMonths : 66.0 		 Average Reward : -5355.89
Updates : 146 		 SurvivalMonths : 39.5 		 Average Reward : -4525.85
Updates : 148 		 SurvivalMonths : 12.0 		 Average Reward : 532.29
Updates : 150 		 SurvivalMonths : 38.5 		 Average Reward : -806.44
Updates : 152 		 SurvivalMonths : 66.5 		 Average Reward : -8287.29
Updates : 154 		 SurvivalMonths : 71.5 		 Average Reward : -10721.23
Updates : 156 		 SurvivalMonths : 66.5 		 Average Reward : -5528.67
Updates : 158 		 SurvivalMonths : 38.5 		 Average Reward : -1387.1
Updates : 160 		 SurvivalMonths : 67.5 		 Average Reward : -9725.99
Updates : 162 		 SurvivalMonths : 12.0 		 Average Reward : 532.29
Updates : 164 		 SurvivalMonths : 66.0 		 Average Reward : -4507.32
Updates : 166 		 SurvivalMonths : 65.0 		 Average Reward : -2517.67
Updates : 168 		 SurvivalMonths : 66.0 		 Average Reward : -4303.98
Updates : 170 		 SurvivalMonths : 38.5 		 Average Reward : -260.3
Updates : 172 		 SurvivalMonths : 66.5 		 Average Reward : -3076.21
Updates : 174 		 SurvivalMonths : 38.5 		 Average Reward : -119.13
Updates : 176 		 SurvivalMonths : 64.0 		 Average Reward : -9674.32
Updates : 178 		 SurvivalMonths : 66.0 		 Average Reward : -10298.06
Updates : 180 		 SurvivalMonths : 66.5 		 Average Reward : -4125.04
Updates : 182 		 SurvivalMonths : 65.0 		 Average Reward : -4671.55
Updates : 184 		 SurvivalMonths : 39.0 		 Average Reward : -8196.38
Updates : 186 		 SurvivalMonths : 69.5 		 Average Reward : -13241.96
Updates : 188 		 SurvivalMonths : 67.0 		 Average Reward : -7906.96
Updates : 190 		 SurvivalMonths : 64.5 		 Average Reward : -6384.48
Updates : 192 		 SurvivalMonths : 66.5 		 Average Reward : -2276.14
