nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient101
2021-12-06 11:25:26.419255: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient101/PPO_ActionList_gym_cancer:CancerControl-v0_patient101_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/
save checkpoint format : patient101_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 11:25:32
============================================================================================
Updates : 0 		 SurvivalMonths : 39.0 		 Average Reward : -979.48
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/final/patient101_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:04
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 46.0 		 Average Reward : -925.5
Updates : 4 		 SurvivalMonths : 45.5 		 Average Reward : -49.83
Updates : 6 		 SurvivalMonths : 45.5 		 Average Reward : -594.37
Updates : 8 		 SurvivalMonths : 39.5 		 Average Reward : -735.86
Updates : 10 		 SurvivalMonths : 41.5 		 Average Reward : 35.26
Updates : 12 		 SurvivalMonths : 39.5 		 Average Reward : -1030.18
Updates : 14 		 SurvivalMonths : 47.0 		 Average Reward : -676.25
Updates : 16 		 SurvivalMonths : 58.0 		 Average Reward : -2198.72
Updates : 18 		 SurvivalMonths : 39.5 		 Average Reward : -851.85
Updates : 20 		 SurvivalMonths : 62.5 		 Average Reward : -4646.08
Updates : 22 		 SurvivalMonths : 40.0 		 Average Reward : -368.68
Updates : 24 		 SurvivalMonths : 39.5 		 Average Reward : -868.57
Updates : 26 		 SurvivalMonths : 41.0 		 Average Reward : -981.31
Updates : 28 		 SurvivalMonths : 50.5 		 Average Reward : -1454.48
Updates : 30 		 SurvivalMonths : 39.5 		 Average Reward : -1065.73
Updates : 32 		 SurvivalMonths : 41.0 		 Average Reward : -942.73
Updates : 34 		 SurvivalMonths : 38.5 		 Average Reward : -579.97
Updates : 36 		 SurvivalMonths : 41.0 		 Average Reward : -745.2
Updates : 38 		 SurvivalMonths : 44.5 		 Average Reward : -1048.21
Updates : 40 		 SurvivalMonths : 56.5 		 Average Reward : -1284.73
Updates : 42 		 SurvivalMonths : 39.0 		 Average Reward : -193.64
Updates : 44 		 SurvivalMonths : 39.5 		 Average Reward : -459.37
Updates : 46 		 SurvivalMonths : 84.5 		 Average Reward : -1003843.6
Updates : 48 		 SurvivalMonths : 48.0 		 Average Reward : -512.84
Updates : 50 		 SurvivalMonths : 38.0 		 Average Reward : -681.61
Updates : 52 		 SurvivalMonths : 50.0 		 Average Reward : -514.33
Updates : 54 		 SurvivalMonths : 41.0 		 Average Reward : -167.65
Updates : 56 		 SurvivalMonths : 40.5 		 Average Reward : -974.11
Updates : 58 		 SurvivalMonths : 79.0 		 Average Reward : -6395633.02
